CustomerKey,GeographyKey,FirstName,LastName,fullName,BirthDate,MaritalStatus,Gender,EmailAddress,EnglishEducation,EnglishOccupation,AddressLine1,Phone,DateFirstPurchase,customer city
11011,22,Curtis,Lu,Curtis Lu,1969-05-03,M,Male,curtis9@adventure-works.com,Bachelors,Professional,1224 Shoenic,1 (11) 500 555-0117,2018-12-30,East Brisbane
11012,611,Lauren,Walker,Lauren Walker,1979-01-14,M,Female,lauren41@adventure-works.com,Bachelors,Management,4785 Scott Street,717-555-0164,2021-03-16,Bremerton
11013,543,Ian,Jenkins,Ian Jenkins,1979-08-03,M,Male,ian47@adventure-works.com,Bachelors,Management,7902 Hudson Ave.,817-555-0185,2021-04-13,Lebanon
11014,634,Sydney,Bennett,Sydney Bennett,1973-11-06,S,Female,sydney23@adventure-works.com,Bachelors,Management,9011 Tank Drive,431-555-0156,2021-03-23,Redmond
11015,301,Chloe,Young,Chloe Young,1984-08-26,S,Female,chloe23@adventure-works.com,Partial College,Skilled Manual,244 Willow Pass Road,208-555-0142,2021-01-18,Burbank
11016,329,Wyatt,Hill,Wyatt Hill,1984-10-25,M,Male,wyatt32@adventure-works.com,Partial College,Skilled Manual,9666 Northridge Ct.,135-555-0171,2021-02-09,Imperial Beach
11017,39,Shannon,Wang,Shannon Wang,1949-12-24,S,Female,shannon1@adventure-works.com,High School,Skilled Manual,7330 Saddlehill Lane,1 (11) 500 555-0195,2019-01-12,Sunbury
11018,32,Clarence,Rai,Clarence Rai,1955-10-06,S,Male,clarence32@adventure-works.com,Partial College,Clerical,244 Rivewview,1 (11) 500 555-0137,2019-01-17,Bendigo
11019,52,Luke,Lal,Luke Lal,1983-09-04,S,Male,luke18@adventure-works.com,High School,Skilled Manual,7832 Landing Dr,262-555-0112,2021-02-12,Langley
11020,53,Jordan,King,Jordan King,1984-03-19,S,Male,jordan73@adventure-works.com,High School,Skilled Manual,7156 Rose Dr.,550-555-0163,2020-12-29,Metchosin
11021,536,Destiny,Wilson,Destiny Wilson,1984-03-02,S,Female,destiny7@adventure-works.com,Partial College,Skilled Manual,8148 W. Lake Dr.,622-555-0158,2021-01-23,Beaverton
11022,609,Ethan,Zhang,Ethan Zhang,1984-04-10,M,Male,ethan20@adventure-works.com,Partial College,Skilled Manual,1769 Nicholas Drive,589-555-0185,2021-01-20,Bellingham
11023,298,Seth,Edwards,Seth Edwards,1984-04-09,M,Male,seth46@adventure-works.com,Partial College,Skilled Manual,4499 Valley Crest,452-555-0188,2021-02-17,Bellflower
11024,311,Russell,Xie,Russell Xie,1984-03-16,M,Male,russell7@adventure-works.com,Partial College,Skilled Manual,8734 Oxford Place,746-555-0186,2021-06-27,Concord
11025,24,Alejandro,Beck,Alejandro Beck,1951-06-22,M,Male,alejandro45@adventure-works.com,Partial High School,Clerical,2596 Franklin Canyon Road,1 (11) 500 555-0178,2019-01-06,Hawthorne
11026,4,Harold,Sai,Harold Sai,1951-10-01,S,Male,harold3@adventure-works.com,Partial College,Clerical,8211 Leeds Ct.,1 (11) 500 555-0131,2019-01-23,Goulburn
11027,40,Jessie,Zhao,Jessie Zhao,1952-06-05,M,Male,jessie16@adventure-works.com,Partial College,Clerical,213 Valencia Place,1 (11) 500 555-0184,2019-01-16,Warrnambool
11028,17,Jill,Jimenez,Jill Jimenez,1951-10-09,M,Female,jill13@adventure-works.com,Partial College,Clerical,9111 Rose Ann Ave,1 (11) 500 555-0116,2019-01-26,St. Leonards
11029,32,Jimmy,Moreno,Jimmy Moreno,1952-06-19,M,Male,jimmy9@adventure-works.com,Partial College,Clerical,6385 Mark Twain,1 (11) 500 555-0146,2019-01-19,Bendigo
11030,28,Bethany,Yuan,Bethany Yuan,1958-02-18,M,Female,bethany10@adventure-works.com,Partial High School,Clerical,636 Vine Hill Way,1 (11) 500 555-0182,2019-02-05,Cloverdale
11031,8,Theresa,Ramos,Theresa Ramos,1953-02-18,M,Female,theresa13@adventure-works.com,High School,Skilled Manual,6465 Detroit Ave.,1 (11) 500 555-0195,2019-02-01,Matraville
11032,35,Denise,Stone,Denise Stone,1952-12-08,M,Female,denise10@adventure-works.com,High School,Skilled Manual,626 Bentley Street,1 (11) 500 555-0169,2019-02-18,Melbourne
11033,9,Jaime,Nath,Jaime Nath,1958-09-19,M,Male,jaime41@adventure-works.com,High School,Skilled Manual,5927 Rainbow Dr,1 (11) 500 555-0137,2019-02-15,Milsons Point
11034,12,Ebony,Gonzalez,Ebony Gonzalez,1952-12-16,M,Female,ebony19@adventure-works.com,High School,Skilled Manual,5167 Condor Place,1 (11) 500 555-0136,2019-02-01,North Sydney
11035,33,Wendy,Dominguez,Wendy Dominguez,1953-08-23,M,Female,wendy12@adventure-works.com,Partial High School,Clerical,1873 Mt. Whitney Dr,1 (11) 500 555-0177,2019-02-06,Cranbourne
11036,343,Jennifer,Russell,Jennifer Russell,1984-06-16,M,Female,jennifer93@adventure-works.com,Partial College,Skilled Manual,3981 Augustine Drive,115-555-0183,2021-01-22,National City
11037,49,Chloe,Garcia,Chloe Garcia,1983-05-27,S,Female,chloe27@adventure-works.com,Partial High School,Clerical,8915 Woodside Way,229-555-0112,2021-01-20,Cliffside
11038,6,Diana,Hernandez,Diana Hernandez,1953-09-20,M,Female,diana2@adventure-works.com,Partial High School,Clerical,8357 Sandy Cove Lane,1 (11) 500 555-0114,2019-02-07,Lavender Bay
11039,19,Marc,Martin,Marc Martin,1954-06-16,M,Male,marc3@adventure-works.com,Partial College,Clerical,9353 Creekside Dr.,1 (11) 500 555-0183,2019-02-07,Wollongong
11040,642,Jesse,Murphy,Jesse Murphy,1983-01-29,M,Male,jesse15@adventure-works.com,Partial College,Skilled Manual,3350 Kingswood Circle,961-555-0176,2021-04-03,Tacoma
11041,325,Amanda,Carter,Amanda Carter,1983-04-15,M,Female,amanda53@adventure-works.com,Partial College,Skilled Manual,5826 Escobar,295-555-0145,2021-01-14,Glendale
11042,338,Megan,Sanchez,Megan Sanchez,1982-12-11,M,Female,megan28@adventure-works.com,Partial College,Skilled Manual,1397 Paraiso Ct.,404-555-0199,2021-01-21,Los Angeles
11043,325,Nathan,Simmons,Nathan Simmons,1981-08-23,M,Male,nathan11@adventure-works.com,Partial College,Skilled Manual,1170 Shaw Rd,296-555-0181,2021-05-08,Glendale
11044,25,Adam,Flores,Adam Flores,1954-11-21,M,Male,adam10@adventure-works.com,Partial High School,Clerical,6935 Candle Dr,1 (11) 500 555-0163,2019-02-28,Hervey Bay
11045,8,Leonard,Nara,Leonard Nara,1955-11-16,S,Male,leonard18@adventure-works.com,High School,Skilled Manual,7466 La Vista Ave.,1 (11) 500 555-0151,2021-04-10,Matraville
11046,6,Christine,Yuan,Christine Yuan,1955-09-19,M,Female,christine4@adventure-works.com,High School,Skilled Manual,2356 Orange St,1 (11) 500 555-0113,2019-02-06,Lavender Bay
11047,34,Jaclyn,Lu,Jaclyn Lu,1955-08-27,M,Female,jaclyn12@adventure-works.com,High School,Skilled Manual,2812 Mazatlan,1 (11) 500 555-0137,2019-02-03,Geelong
11048,39,Jeremy,Powell,Jeremy Powell,1956-05-21,M,Male,jeremy26@adventure-works.com,High School,Skilled Manual,1803 Potomac Dr.,1 (11) 500 555-0183,2019-02-10,Sunbury
11049,307,Carol,Rai,Carol Rai,1986-01-15,S,Female,carol8@adventure-works.com,Partial High School,Clerical,6064 Madrid,654-555-0180,2021-03-09,Chula Vista
11050,31,Alan,Zheng,Alan Zheng,1957-03-06,M,Male,alan23@adventure-works.com,High School,Skilled Manual,2741 Gainborough Dr.,1 (11) 500 555-0135,2019-02-20,Hobart
11051,21,Daniel,Johnson,Daniel Johnson,1957-01-31,S,Male,daniel18@adventure-works.com,High School,Skilled Manual,8085 Sunnyvale Avenue,1 (11) 500 555-0155,2021-12-29,Caloundra
11052,8,Heidi,Lopez,Heidi Lopez,1957-02-03,S,Female,heidi19@adventure-works.com,Partial College,Clerical,2514 Via Cordona,1 (11) 500 555-0168,2019-02-17,Matraville
11053,359,Ana,Price,Ana Price,1986-02-17,M,Female,ana0@adventure-works.com,Partial College,Skilled Manual,1660 Stonyhill Circle,859-555-0113,2021-01-17,San Diego
11054,34,Deanna,Munoz,Deanna Munoz,1957-09-07,M,Female,deanna33@adventure-works.com,Partial College,Skilled Manual,5825 B Way,1 (11) 500 555-0192,2019-02-03,Geelong
11055,22,Gilbert,Raje,Gilbert Raje,1957-09-02,M,Male,gilbert35@adventure-works.com,Partial College,Skilled Manual,8811 The Trees Dr.,1 (11) 500 555-0129,2019-01-31,East Brisbane
11056,10,Michele,Nath,Michele Nath,1958-10-01,M,Female,michele19@adventure-works.com,Partial College,Skilled Manual,5464 Janin Pl.,1 (11) 500 555-0178,2019-02-26,Newcastle
11057,5,Carl,Andersen,Carl Andersen,1970-04-07,M,Male,carl12@adventure-works.com,Graduate Degree,Management,6930 Lake Nadine Place,1 (11) 500 555-0181,2019-02-22,Lane Cove
11058,29,Marc,Diaz,Marc Diaz,1965-04-23,M,Male,marc6@adventure-works.com,Partial College,Skilled Manual,6645 Sinaloa,1 (11) 500 555-0149,2019-03-09,Findon
11059,27,Ashlee,Andersen,Ashlee Andersen,1959-09-29,S,Female,ashlee19@adventure-works.com,Partial College,Skilled Manual,8255 Highland Road,1 (11) 500 555-0112,2021-02-18,Townsville
11060,40,Jon,Zhou,Jon Zhou,1959-09-14,M,Male,jon28@adventure-works.com,Partial College,Skilled Manual,6574 Hemlock Ave.,1 (11) 500 555-0174,2019-03-19,Warrnambool
11061,23,Todd,Gao,Todd Gao,1976-02-20,M,Male,todd14@adventure-works.com,Partial College,Skilled Manual,8808 Geneva Ave,1 (11) 500 555-0191,2019-03-13,Gold Coast
11062,547,Noah,Powell,Noah Powell,1981-03-01,M,Male,noah5@adventure-works.com,High School,Skilled Manual,9794 Marion Ct,767-555-0113,2021-01-07,Portland
11063,634,Angela,Murphy,Angela Murphy,1980-10-04,S,Female,angela41@adventure-works.com,High School,Skilled Manual,4927 Virgil Street,451-555-0162,2021-01-12,Redmond
11064,315,Chase,Reed,Chase Reed,1981-06-05,M,Male,chase21@adventure-works.com,High School,Skilled Manual,2721 Alexander Pl.,892-555-0184,2021-01-25,Downey
11065,331,Jessica,Henderson,Jessica Henderson,1979-04-08,M,Female,jessica29@adventure-works.com,Partial College,Skilled Manual,9343 Ironwood Way,278-555-0186,2021-02-10,La Jolla
11066,543,Grace,Butler,Grace Butler,1979-05-27,M,Female,grace62@adventure-works.com,Partial College,Professional,4739 Garden Ave.,712-555-0141,2021-05-31,Lebanon
11067,632,Caleb,Carter,Caleb Carter,1982-03-25,S,Male,caleb40@adventure-works.com,Partial College,Professional,9563 Pennsylvania Blvd.,944-555-0167,2021-08-18,Port Orchard
11068,40,Tiffany,Liang,Tiffany Liang,1966-09-19,S,Female,tiffany17@adventure-works.com,High School,Skilled Manual,3608 Sinclair Avenue,1 (11) 500 555-0177,2021-04-30,Warrnambool
11069,23,Carolyn,Navarro,Carolyn Navarro,1966-09-17,S,Female,carolyn30@adventure-works.com,High School,Skilled Manual,4606 Springwood Court,1 (11) 500 555-0145,2019-04-17,Gold Coast
11070,39,Willie,Raji,Willie Raji,1960-10-02,M,Male,willie40@adventure-works.com,High School,Skilled Manual,6260 Vernal Drive,1 (11) 500 555-0151,2019-04-28,Sunbury
11071,24,Linda,Serrano,Linda Serrano,1960-12-23,S,Female,linda31@adventure-works.com,High School,Skilled Manual,9808 Shaw Rd.,1 (11) 500 555-0130,2021-03-01,Hawthorne
11072,17,Casey,Luo,Casey Luo,1960-08-05,S,Female,casey6@adventure-works.com,High School,Skilled Manual,9513 Roslyn Drive,1 (11) 500 555-0125,2019-03-31,St. Leonards
11073,16,Amy,Ye,Amy Ye,1962-02-11,S,Female,amy16@adventure-works.com,High School,Skilled Manual,2262 Kirkwood Ct.,1 (11) 500 555-0185,2021-03-23,Springwood
11074,28,Levi,Arun,Levi Arun,1962-02-25,S,Male,levi6@adventure-works.com,High School,Skilled Manual,4661 Bluetail,1 (11) 500 555-0127,2021-03-23,Cloverdale
11075,32,Felicia,Jimenez,Felicia Jimenez,1963-05-16,S,Female,felicia4@adventure-works.com,High School,Professional,786 Eastgate Ave,1 (11) 500 555-0165,2019-04-28,Bendigo
11076,19,Blake,Anderson,Blake Anderson,1963-01-10,S,Male,blake9@adventure-works.com,High School,Professional,5436 Clear,1 (11) 500 555-0113,2019-04-21,Wollongong
11077,36,Leah,Ye,Leah Ye,1963-03-19,S,Female,leah7@adventure-works.com,High School,Professional,1291 Arguello Blvd.,1 (11) 500 555-0154,2019-04-15,Melton
11078,49,Gina,Martin,Gina Martin,1985-01-06,S,Female,gina1@adventure-works.com,High School,Professional,1349 Sol St.,196-555-0114,2021-02-15,Cliffside
11079,34,Donald,Gonzalez,Donald Gonzalez,1970-03-07,S,Male,donald20@adventure-works.com,Graduate Degree,Management,4236 Malibu Place,1 (11) 500 555-0137,2021-03-15,Geelong
11080,30,Damien,Chander,Damien Chander,1965-01-13,M,Male,damien32@adventure-works.com,Graduate Degree,Management,9941 Stonehedge Dr.,1 (11) 500 555-0111,2019-04-10,Perth
11081,311,Savannah,Baker,Savannah Baker,1972-01-21,M,Female,savannah39@adventure-works.com,Bachelors,Management,1210 Trafalgar Circle,478-555-0117,2021-02-12,Concord
11082,322,Angela,Butler,Angela Butler,1972-02-01,S,Female,angela17@adventure-works.com,Graduate Degree,Management,6040 Listing Ct,579-555-0195,2021-01-22,Fremont
11083,336,Alyssa,Cox,Alyssa Cox,1977-03-11,M,Female,alyssa37@adventure-works.com,Graduate Degree,Management,867 La Orinda Place,561-555-0140,2021-01-06,Lincoln Acres
11084,543,Lucas,Phillips,Lucas Phillips,1963-03-12,S,Male,lucas7@adventure-works.com,Partial High School,Skilled Manual,8668 St. Celestine Court,863-555-0172,2021-01-04,Lebanon
11085,345,Emily,Johnson,Emily Johnson,1963-01-16,S,Female,emily1@adventure-works.com,High School,Professional,7926 Stephanie Way,850-555-0184,2021-12-06,Newport Beach
11086,369,Ryan,Brown,Ryan Brown,1963-06-22,M,Male,ryan43@adventure-works.com,Partial College,Professional,2939 Wesley Ct.,539-555-0198,2021-07-02,Santa Monica
11087,307,Tamara,Liang,Tamara Liang,1963-04-02,M,Female,tamara6@adventure-works.com,Partial College,Professional,3791 Rossmor Parkway,178-555-0152,2021-02-25,Chula Vista
11088,359,Hunter,Davis,Hunter Davis,1963-05-25,M,Male,hunter64@adventure-works.com,Bachelors,Management,4308 Sand Pointe Lane,612-555-0141,2021-01-13,San Diego
11089,337,Abigail,Price,Abigail Price,1962-08-05,S,Female,abigail25@adventure-works.com,Bachelors,Management,2685 Blackburn Ct,532-555-0117,2020-12-29,Long Beach
11090,338,Trevor,Bryant,Trevor Bryant,1968-12-13,S,Male,trevor18@adventure-works.com,Partial College,Professional,5781 Sharon Dr.,853-555-0174,2019-08-07,Los Angeles
11091,50,Dalton,Perez,Dalton Perez,1962-10-02,M,Male,dalton37@adventure-works.com,Partial College,Professional,6083 San Jose,559-555-0115,2021-01-29,Haney
11092,22,Cheryl,Diaz,Cheryl Diaz,1972-11-02,M,Female,cheryl4@adventure-works.com,Bachelors,Professional,7297 Kaywood Drive,1 (11) 500 555-0192,2019-04-08,East Brisbane
11093,19,Aimee,He,Aimee He,1978-09-06,M,Female,aimee13@adventure-works.com,Graduate Degree,Management,1833 Olympic Drive,1 (11) 500 555-0161,2019-04-07,Wollongong
11094,33,Cedric,Ma,Cedric Ma,1967-09-29,S,Male,cedric15@adventure-works.com,Partial College,Skilled Manual,3407 Oak Brook Place,1 (11) 500 555-0115,2021-04-07,Cranbourne
11095,13,Chad,Kumar,Chad Kumar,1968-02-29,S,Male,chad9@adventure-works.com,Partial College,Skilled Manual,1681 Lighthouse Way,1 (11) 500 555-0151,2019-04-01,Port Macquarie
11096,12,Andrés,Anand,Andrés Anand,1968-02-07,M,Male,andrés18@adventure-works.com,Bachelors,Professional,5423 Los Gatos Ct.,1 (11) 500 555-0184,2019-04-11,North Sydney
11097,40,Edwin,Nara,Edwin Nara,1972-10-23,M,Male,edwin39@adventure-works.com,Partial College,Skilled Manual,719 William Way,1 (11) 500 555-0112,2019-04-04,Warrnambool
11098,14,Mallory,Rubio,Mallory Rubio,1966-10-29,S,Female,mallory7@adventure-works.com,Partial College,Skilled Manual,6452 Harris Circle,1 (11) 500 555-0157,2021-02-11,Rhodes
11099,13,Adam,Ross,Adam Ross,1966-09-05,M,Male,adam2@adventure-works.com,Bachelors,Professional,4378 Westminster Place,1 (11) 500 555-0186,2019-04-07,Port Macquarie
11100,28,Latasha,Navarro,Latasha Navarro,1966-03-15,S,Female,latasha10@adventure-works.com,Partial College,Skilled Manual,6954 Ranch Road,1 (11) 500 555-0123,2019-04-16,Cloverdale
11101,33,Abby,Sai,Abby Sai,1970-11-05,S,Female,abby4@adventure-works.com,Bachelors,Professional,7074 N. Spoonwood Court,1 (11) 500 555-0174,2019-04-29,Cranbourne
11102,18,Julia,Nelson,Julia Nelson,1970-10-19,S,Female,julia7@adventure-works.com,Bachelors,Professional,2196 Coat Ct.,1 (11) 500 555-0124,2021-07-16,Sydney
11103,3,Cassie,Chande,Cassie Chande,1981-04-12,S,Female,cassie13@adventure-works.com,Bachelors,Professional,9448 San Marino Ct.,1 (11) 500 555-0166,2019-04-15,Darlinghurst
11104,23,Edgar,Sara,Edgar Sara,1975-03-08,M,Male,edgar11@adventure-works.com,Bachelors,Professional,6127 Lilly Lane,1 (11) 500 555-0125,2019-05-04,Gold Coast
11105,8,Candace,Fernandez,Candace Fernandez,1970-06-27,S,Female,candace15@adventure-works.com,Bachelors,Professional,5029 Blue Ridge,1 (11) 500 555-0162,2019-05-14,Matraville
11106,40,Jessie,Liu,Jessie Liu,1970-03-11,S,Male,jessie9@adventure-works.com,Bachelors,Professional,3063 Blue Jay Drive,1 (11) 500 555-0163,2019-05-18,Warrnambool
11107,17,Bianca,Lin,Bianca Lin,1976-03-04,M,Female,bianca7@adventure-works.com,Bachelors,Professional,7530 Eola,1 (11) 500 555-0121,2019-05-01,St. Leonards
11108,13,Kari,Alvarez,Kari Alvarez,1969-01-10,S,Female,kari25@adventure-works.com,Bachelors,Professional,9178 Thornhill Place,1 (11) 500 555-0169,2019-05-03,Port Macquarie
11109,38,Ruben,Kapoor,Ruben Kapoor,1980-04-30,S,Male,ruben1@adventure-works.com,Bachelors,Professional,1984 Glendale Circle,1 (11) 500 555-0132,2019-05-10,South Melbourne
11110,3,Curtis,Yang,Curtis Yang,1967-12-04,M,Male,curtis5@adventure-works.com,Partial College,Skilled Manual,4052 Mt. Wilson Way,1 (11) 500 555-0127,2019-05-01,Darlinghurst
11111,34,Meredith,Gutierrez,Meredith Gutierrez,1967-08-23,M,Female,meredith34@adventure-works.com,Partial College,Skilled Manual,7610 Northridge Ct.,1 (11) 500 555-0179,2019-05-20,Geelong
11112,25,Crystal,Wang,Crystal Wang,1968-03-08,M,Female,crystal3@adventure-works.com,Partial College,Skilled Manual,2773 Kirkwood Dr,1 (11) 500 555-0134,2019-05-25,Hervey Bay
11113,30,Micheal,Blanco,Micheal Blanco,1973-02-17,M,Male,micheal11@adventure-works.com,Bachelors,Professional,596 Marfargoa Drive,1 (11) 500 555-0131,2021-02-01,Perth
11114,14,Leslie,Moreno,Leslie Moreno,1967-11-25,S,Female,leslie7@adventure-works.com,Partial College,Skilled Manual,7941 Cristobal,1 (11) 500 555-0115,2021-03-18,Rhodes
11115,17,Alvin,Cai,Alvin Cai,1967-08-12,M,Male,alvin20@adventure-works.com,Partial College,Skilled Manual,7759 Azalea Avenue,1 (11) 500 555-0191,2021-02-10,St. Leonards
11116,18,Clinton,Carlson,Clinton Carlson,1979-04-02,M,Male,clinton14@adventure-works.com,Partial College,Skilled Manual,7943 Cunha Ct.,1 (11) 500 555-0184,2021-03-15,Sydney
11117,8,April,Deng,April Deng,1966-08-21,M,Female,april1@adventure-works.com,Partial College,Skilled Manual,485 Ash Lane,1 (11) 500 555-0182,2019-05-06,Matraville
11118,6,Alvin,Zeng,Alvin Zeng,1962-12-31,S,Male,alvin21@adventure-works.com,Partial College,Skilled Manual,3853 Wildcat Circle,1 (11) 500 555-0174,2021-07-10,Lavender Bay
11119,13,Evan,James,Evan James,1940-10-07,S,Male,evan8@adventure-works.com,Partial College,Clerical,4157 Sierra Ridge,1 (11) 500 555-0187,2021-02-03,Port Macquarie
11120,18,Beth,Jiménez,Beth Jiménez,1942-02-06,S,Female,beth8@adventure-works.com,Bachelors,Management,7401 Las Palmas,1 (11) 500 555-0164,2019-05-14,Sydney
11121,10,Orlando,Suarez,Orlando Suarez,1966-05-18,M,Male,orlando19@adventure-works.com,Partial College,Skilled Manual,7743 Hames Dr,1 (11) 500 555-0198,2021-06-24,Newcastle
11122,12,Byron,Vazquez,Byron Vazquez,1965-09-30,M,Male,byron9@adventure-works.com,Partial College,Skilled Manual,3187 Hackamore Lane,1 (11) 500 555-0136,2021-02-21,North Sydney
11123,39,Philip,Alvarez,Philip Alvarez,1965-12-18,M,Male,philip4@adventure-works.com,Partial College,Skilled Manual,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,2021-04-17,Sunbury
11124,40,Ross,Jordan,Ross Jordan,1968-07-23,S,Male,ross1@adventure-works.com,Partial College,Skilled Manual,6973 Dublin Court,1 (11) 500 555-0126,2019-05-05,Warrnambool
11125,37,Dana,Navarro,Dana Navarro,1961-10-06,S,Female,dana2@adventure-works.com,Partial College,Skilled Manual,8481 Zartop Street,1 (11) 500 555-0172,2021-01-31,Seaford
11126,11,Shaun,Carson,Shaun Carson,1954-10-05,M,Male,shaun16@adventure-works.com,High School,Skilled Manual,57 Wolf Way,1 (11) 500 555-0155,2019-05-28,North Ryde
11127,361,Jan,Edwards,Jan Edwards,1981-04-19,M,Female,jan11@adventure-works.com,High School,Skilled Manual,9409 The Alameda,111-555-0118,2021-04-10,San Gabriel
11128,635,Samantha,Long,Samantha Long,1981-06-03,M,Female,samantha35@adventure-works.com,High School,Skilled Manual,1606 Alderwood Lane,175-555-0139,2021-06-19,Renton
11129,638,Julia,Wright,Julia Wright,1981-02-01,S,Female,julia17@adventure-works.com,High School,Skilled Manual,7397 Central Blvd.,456-555-0174,2019-08-06,Sedro Woolley
11130,543,Caroline,Russell,Caroline Russell,1985-07-05,M,Female,caroline21@adventure-works.com,High School,Skilled Manual,3884 Bates Court,424-555-0137,2021-12-09,Lebanon
11131,50,Amanda,Rivera,Amanda Rivera,1985-09-09,M,Female,amanda7@adventure-works.com,High School,Skilled Manual,9573 Royal Oak Rd.,918-555-0126,2021-10-18,Haney
11132,51,Melissa,Richardson,Melissa Richardson,1986-04-25,S,Female,melissa31@adventure-works.com,High School,Skilled Manual,6832 Fruitwood Dr,928-555-0118,2021-04-09,Langford
11133,542,Angela,Griffin,Angela Griffin,1986-03-08,S,Female,angela23@adventure-works.com,Partial High School,Clerical,3828 Baltic Sea Ct,598-555-0174,2021-12-30,Lake Oswego
11134,30,Larry,Townsend,Larry Townsend,1957-02-22,S,Male,larry14@adventure-works.com,High School,Skilled Manual,7034 Carson,1 (11) 500 555-0130,2019-05-03,Perth
11135,302,Marcus,Harris,Marcus Harris,1985-05-02,S,Male,marcus14@adventure-works.com,Partial High School,Clerical,9068 Quiet Place Drive,442-555-0119,2021-04-18,Burlingame
11136,53,Brianna,Morgan,Brianna Morgan,1984-04-24,S,Female,brianna30@adventure-works.com,High School,Skilled Manual,9005 Eagle Ct.,954-555-0117,2021-01-03,Metchosin
11137,641,Jasmine,Taylor,Jasmine Taylor,1984-01-17,M,Female,jasmine7@adventure-works.com,High School,Skilled Manual,2457 Matterhorn Court,557-555-0146,2021-07-31,Spokane
11138,325,Lauren,Davis,Lauren Davis,1984-03-14,M,Female,lauren23@adventure-works.com,High School,Skilled Manual,8105 Pembrook Court,832-555-0121,2021-09-19,Glendale
11139,28,Tanya,Moreno,Tanya Moreno,1949-11-05,S,Female,tanya2@adventure-works.com,Partial College,Clerical,6155 Wilbur Drive,1 (11) 500 555-0185,2021-09-14,Cloverdale
11140,301,Javier,Alvarez,Javier Alvarez,1982-08-11,S,Male,javier1@adventure-works.com,Partial High School,Clerical,8935 Etcheverry Dr.,763-555-0134,2021-03-19,Burbank
11141,314,Nicole,Ramirez,Nicole Ramirez,1982-12-19,M,Female,nicole42@adventure-works.com,High School,Skilled Manual,1101 C Street,152-555-0162,2021-05-16,Daly City
11142,51,Eduardo,Patterson,Eduardo Patterson,1983-02-11,S,Male,eduardo55@adventure-works.com,High School,Skilled Manual,6255 Macalvey Dr.,190-555-0184,2021-02-13,Langford
11143,334,Jonathan,Henderson,Jonathan Henderson,1982-08-04,M,Male,jonathan4@adventure-works.com,High School,Skilled Manual,165 East Lane Road,149-555-0113,2021-06-15,Lakewood
11144,607,Edward,Hernandez,Edward Hernandez,1985-03-08,S,Male,edward48@adventure-works.com,High School,Skilled Manual,7607 Pine Hollow Road,178-555-0196,2021-01-25,Ballard
11145,536,Jasmine,Coleman,Jasmine Coleman,1985-06-06,S,Female,jasmine46@adventure-works.com,High School,Skilled Manual,1961 Oak Grove Road,857-555-0115,2021-01-25,Beaverton
11146,8,Karla,Goel,Karla Goel,1945-02-22,S,Female,karla20@adventure-works.com,Bachelors,Management,3272 Corrie Lane,1 (11) 500 555-0137,2021-02-05,Matraville
